id,symbol,price_start,price_end,price_max,price_min,volume,time_epoch,date_time
59,xrp,0.00,539.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
60,bch,0.00,850000.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
61,ltc,0.00,91900.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
62,dash,0.00,273000.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
63,etc,0.00,17750.00,0.00,0.00,0.00,1529960400000,"2018-06-25 21:00:00"
64,btc,0.00,7032000.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
65,eth,0.00,518500.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
66,xrp,0.00,539.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
67,bch,0.00,848000.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
68,ltc,0.00,92400.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
69,dash,0.00,270800.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
70,etc,0.00,17780.00,0.00,0.00,0.00,1529962200000,"2018-06-25 21:30:00"
71,btc,0.00,7050000.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
72,eth,0.00,520500.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
73,xrp,0.00,542.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
74,bch,0.00,850000.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
75,ltc,0.00,92400.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
76,dash,0.00,270700.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
77,etc,0.00,17980.00,0.00,0.00,0.00,1529964000000,"2018-06-25 22:00:00"
78,btc,0.00,7045000.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
79,eth,0.00,519500.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
80,xrp,0.00,541.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
81,bch,0.00,853000.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
82,ltc,0.00,92400.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
83,dash,0.00,270800.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
84,etc,0.00,17840.00,0.00,0.00,0.00,1529965800000,"2018-06-25 22:30:00"
85,btc,0.00,7015000.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
86,eth,0.00,519000.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
87,xrp,0.00,540.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
88,bch,0.00,847000.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
89,ltc,0.00,91900.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
90,dash,0.00,268000.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
91,etc,0.00,17730.00,0.00,0.00,0.00,1529967600000,"2018-06-25 23:00:00"
92,btc,0.00,7019000.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
93,eth,0.00,518000.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
94,xrp,0.00,540.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
95,bch,0.00,849000.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
96,ltc,0.00,92000.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
97,dash,0.00,268000.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
98,etc,0.00,17850.00,0.00,0.00,0.00,1529969400000,"2018-06-25 23:30:00"
99,btc,0.00,7037000.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
100,eth,0.00,515500.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
101,xrp,0.00,540.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
102,bch,0.00,846000.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
103,ltc,0.00,91700.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
104,dash,0.00,268000.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
105,etc,0.00,17900.00,0.00,0.00,0.00,1529971200000,"2018-06-26 00:00:00"
106,btc,0.00,7025000.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
107,eth,0.00,515000.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
108,xrp,0.00,540.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
109,bch,0.00,845000.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
110,ltc,0.00,92100.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
111,dash,0.00,268000.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
112,etc,0.00,17810.00,0.00,0.00,0.00,1529973000000,"2018-06-26 00:30:00"
113,btc,0.00,6983000.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
114,eth,0.00,511000.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
115,xrp,0.00,534.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
116,bch,0.00,834000.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
117,ltc,0.00,91600.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
118,dash,0.00,267100.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
119,etc,0.00,17450.00,0.00,0.00,0.00,1529974800000,"2018-06-26 01:00:00"
120,btc,0.00,6993000.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
121,eth,0.00,514000.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
122,xrp,0.00,537.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
123,bch,0.00,836000.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
124,ltc,0.00,91900.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
125,dash,0.00,267000.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
126,etc,0.00,17650.00,0.00,0.00,0.00,1529976600000,"2018-06-26 01:30:00"
127,btc,0.00,7008000.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
128,eth,0.00,514500.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
129,xrp,0.00,538.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
130,bch,0.00,840000.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
131,ltc,0.00,91400.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
132,dash,0.00,269900.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
133,etc,0.00,17720.00,0.00,0.00,0.00,1529978400000,"2018-06-26 02:00:00"
134,btc,0.00,7011000.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
135,eth,0.00,515000.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
136,xrp,0.00,539.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
137,bch,0.00,840000.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
138,ltc,0.00,91900.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
139,dash,0.00,269900.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
140,etc,0.00,17670.00,0.00,0.00,0.00,1529980200000,"2018-06-26 02:30:00"
141,btc,0.00,7010000.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
142,eth,0.00,514000.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
143,xrp,0.00,539.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
144,bch,0.00,839000.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
145,ltc,0.00,91700.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
146,dash,0.00,268100.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
147,etc,0.00,17670.00,0.00,0.00,0.00,1529982000000,"2018-06-26 03:00:00"
148,btc,0.00,7002000.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
149,eth,0.00,514000.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
150,xrp,0.00,537.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
151,bch,0.00,840000.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
152,ltc,0.00,91700.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
153,dash,0.00,268100.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
154,etc,0.00,17650.00,0.00,0.00,0.00,1529983800000,"2018-06-26 03:30:00"
155,btc,0.00,7008000.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
156,eth,0.00,514500.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
157,xrp,0.00,538.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
158,bch,0.00,839000.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
159,ltc,0.00,91900.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
160,dash,0.00,267900.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
161,etc,0.00,17720.00,0.00,0.00,0.00,1529985600000,"2018-06-26 04:00:00"
162,btc,0.00,7001000.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
163,eth,0.00,514500.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
164,xrp,0.00,538.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
165,bch,0.00,838000.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
166,ltc,0.00,91600.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
167,dash,0.00,267900.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
168,etc,0.00,17550.00,0.00,0.00,0.00,1529987400000,"2018-06-26 04:30:00"
169,btc,0.00,7004000.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
170,eth,0.00,514000.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
171,xrp,0.00,538.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
172,bch,0.00,842000.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
173,ltc,0.00,91800.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
174,dash,0.00,266000.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
175,etc,0.00,17700.00,0.00,0.00,0.00,1529989200000,"2018-06-26 05:00:00"
176,btc,0.00,7025000.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
177,eth,0.00,516500.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
178,xrp,0.00,540.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
179,bch,0.00,843000.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
180,ltc,0.00,92200.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
181,dash,0.00,266000.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
182,etc,0.00,17850.00,0.00,0.00,0.00,1529991000000,"2018-06-26 05:30:00"
183,btc,0.00,7011000.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
184,eth,0.00,516000.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
185,xrp,0.00,538.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
186,bch,0.00,845000.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
187,ltc,0.00,92500.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
188,dash,0.00,268600.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
189,etc,0.00,17770.00,0.00,0.00,0.00,1529992800000,"2018-06-26 06:00:00"
190,btc,0.00,7012000.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
191,eth,0.00,514500.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
192,xrp,0.00,539.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
193,bch,0.00,842000.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
194,ltc,0.00,92300.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
195,dash,0.00,266100.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
196,etc,0.00,17760.00,0.00,0.00,0.00,1529994600000,"2018-06-26 06:30:00"
197,btc,0.00,7010000.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
198,eth,0.00,513000.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
199,xrp,0.00,539.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
200,bch,0.00,845000.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
201,ltc,0.00,92300.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
202,dash,0.00,267800.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
203,etc,0.00,17700.00,0.00,0.00,0.00,1529996400000,"2018-06-26 07:00:00"
204,btc,0.00,7000000.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
205,eth,0.00,511000.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
206,xrp,0.00,540.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
207,bch,0.00,843000.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
208,ltc,0.00,91700.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
209,dash,0.00,266100.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
210,etc,0.00,17630.00,0.00,0.00,0.00,1529998200000,"2018-06-26 07:30:00"
211,btc,0.00,6997000.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
212,eth,0.00,512500.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
213,xrp,0.00,539.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
214,bch,0.00,839000.00,0.00,0.00,0.00,1530000000000,"2018-06-26 08:00:00"
